case,hearing_date,parcel,district,FULL_ADDRESS,ZIP_CODE,USE_DESCRIPTION,ACREAGE,YEAR_BUILT,applicant,representative,staff,description,geometry
REZ-2024-100950,2024-07-11,805-737-7793,FAIRFIELD,4124 VALLEY SIDE DR,23223,Vacant Residential,,0,Joseph B McCutcheon Jr,Lory Markham,Ali Hartwick,"FAIRFIELD: REZ-2024-100950 Lory Markham for Joseph B McCutcheon Jr: Request to amend proffers accepted with C-72C-83 on Parcel 805-737-7793 located on the west line of Valley Side Drive at its intersection with Farm Creek Drive. The applicant proposes to amend a proffer related to recreational space to allow for the development of new single-family homes. The existing zoning is R-3AC One-Family Residence District (Conditional). The 2026 Comprehensive Plan recommends Suburban Residential 2, density should not exceed 3.4 units per acre, and Environmental Protection Area. The site is located in the Airport Safety Overlay District. Staff – Ali Hartwick","MULTIPOLYGON (((-77.38521 37.5837, -77.38526 37.58364, -77.38528 37.58362, -77.38529 37.58361, -77.38537 37.58352, -77.38548 37.58339, -77.38552 37.58335, -77.38558 37.58328, -77.38562 37.58323, -77.38566 37.58318, -77.38571 37.58313, -77.38575 37.58308, -77.38578 37.58305, -77.3864 37.5834, -77.3861 37.58373, -77.38607 37.58378, -77.38603 37.58382, -77.386 37.58386, -77.38596 37.58391, -77.38593 37.58395, -77.3859 37.58399, -77.38586 37.58404, -77.38527 37.58373, -77.38521 37.5837)))"
REZ-2024-101034,2024-07-11,803-733-6779,FAIRFIELD,BYRON ST,23223,Vacant Comm B1-B3,,,"Glenwood Redevelopment, LLC",Jeffrey P Geiger,Seth Humphreys,"REZ-2024-101034 Jeffrey P Geiger for Glenwood Redevelopment, LLC: Request to conditionally rezone from B-2 Business District, R-4 One-Family Residence District, and R-5 General Residence District to UMU-PDC Urban Mixed-Use Planned Development District (Conditional) Parcels 803-733-6779, 803-733-8666, 803-733-8838, 803-733-9862, 803-734-7239, 803-734-9319, and 804-733-0683 containing 34.409 acres located on the north and south line of Byron Street between Carlton Road and Howard Road, and the north and south line of E. Laburnum Avenue at its intersection with Bolling Road and Howard Road. The applicant proposes rezoning for a mixed-use development with residential and commercial uses. The uses will be controlled by zoning ordinance regulations and proffered conditions. The 2026 Comprehensive Plan recommends Commercial Concentration, Multi-Family Residential, and Urban Residential. The site is located in the Airport Safety Overlay District and a portion is located in the Enterprise Zone. Staff – Seth Humphreys","MULTIPOLYGON (((-77.39319 37.57204, -77.39338 37.57202, -77.39342 37.57236, -77.39341 37.57236, -77.39318 37.57238, -77.39303 37.5724, -77.39299 37.57206, -77.39319 37.57204)))"
REZ-2024-101034,2024-07-11,803-733-8666,FAIRFIELD,2701 BYRON ST,23223,Retail Strip,,1948,"Glenwood Redevelopment, LLC",Jeffrey P Geiger,Seth Humphreys,"REZ-2024-101034 Jeffrey P Geiger for Glenwood Redevelopment, LLC: Request to conditionally rezone from B-2 Business District, R-4 One-Family Residence District, and R-5 General Residence District to UMU-PDC Urban Mixed-Use Planned Development District (Conditional) Parcels 803-733-6779, 803-733-8666, 803-733-8838, 803-733-9862, 803-734-7239, 803-734-9319, and 804-733-0683 containing 34.409 acres located on the north and south line of Byron Street between Carlton Road and Howard Road, and the north and south line of E. Laburnum Avenue at its intersection with Bolling Road and Howard Road. The applicant proposes rezoning for a mixed-use development with residential and commercial uses. The uses will be controlled by zoning ordinance regulations and proffered conditions. The 2026 Comprehensive Plan recommends Commercial Concentration, Multi-Family Residential, and Urban Residential. The site is located in the Airport Safety Overlay District and a portion is located in the Enterprise Zone. Staff – Seth Humphreys","MULTIPOLYGON (((-77.39205 37.57217, -77.39195 37.57155, -77.39309 37.57144, -77.39319 37.57204, -77.39299 37.57206, -77.39303 37.5724, -77.39302 37.5724, -77.39275 37.57243, -77.39256 37.57245, -77.39241 37.57246, -77.39234 37.57247, -77.39229 37.57215, -77.39205 37.57217), (-77.39219 37.57166, -77.39206 37.57167, -77.39207 37.57183, -77.39221 37.57181, -77.39219 37.57166)))"
REZ-2024-101034,2024-07-11,803-733-8838,FAIRFIELD,HARVIE RD,23223,Apartment,,1948,"Glenwood Redevelopment, LLC",Jeffrey P Geiger,Seth Humphreys,"REZ-2024-101034 Jeffrey P Geiger for Glenwood Redevelopment, LLC: Request to conditionally rezone from B-2 Business District, R-4 One-Family Residence District, and R-5 General Residence District to UMU-PDC Urban Mixed-Use Planned Development District (Conditional) Parcels 803-733-6779, 803-733-8666, 803-733-8838, 803-733-9862, 803-734-7239, 803-734-9319, and 804-733-0683 containing 34.409 acres located on the north and south line of Byron Street between Carlton Road and Howard Road, and the north and south line of E. Laburnum Avenue at its intersection with Bolling Road and Howard Road. The applicant proposes rezoning for a mixed-use development with residential and commercial uses. The uses will be controlled by zoning ordinance regulations and proffered conditions. The 2026 Comprehensive Plan recommends Commercial Concentration, Multi-Family Residential, and Urban Residential. The site is located in the Airport Safety Overlay District and a portion is located in the Enterprise Zone. Staff – Seth Humphreys","MULTIPOLYGON (((-77.39205 37.57217, -77.39143 37.57225, -77.39142 37.57218, -77.3914 37.57209, -77.39139 37.57198, -77.39136 37.57183, -77.39135 37.57174, -77.39132 37.57159, -77.39129 37.57144, -77.39128 37.57133, -77.39123 37.57104, -77.39123 37.57103, -77.39123 37.57102, -77.39123 37.57101, -77.39123 37.57101, -77.39123 37.571, -77.39124 37.57099, -77.39124 37.57098, -77.39125 37.57098, -77.39126 37.57097, -77.39127 37.57096, -77.39127 37.57096, -77.39128 37.57095, -77.39129 37.57095, -77.39131 37.57095, -77.39155 37.57092, -77.3918 37.57089, -77.392 37.57087, -77.39215 37.57086, -77.39228 37.57084, -77.39252 37.57082, -77.39264 37.5708, -77.39277 37.57079, -77.39299 37.57077, -77.3931 37.57075, -77.39356 37.57071, -77.39357 37.5707, -77.39359 37.5707, -77.3936 37.57071, -77.39361 37.57071, -77.39362 37.57071, -77.39363 37.57072, -77.39364 37.57072, -77.39364 37.57073, -77.39365 37.57073, -77.39366 37.57074, -77.39366 37.57075, -77.39367 37.57075, -77.39367 37.57076, -77.39367 37.57077, -77.39368 37.57078, -77.39386 37.57197, -77.39338 37.57202, -77.39319 37.57204, -77.39309 37.57144, -77.39195 37.57155, -77.39205 37.57217)))"
REZ-2024-101034,2024-07-11,803-733-9862,FAIRFIELD,HARVIE RD,23223,Vacant Comm B1-B3,,,"Glenwood Redevelopment, LLC",Jeffrey P Geiger,Seth Humphreys,"REZ-2024-101034 Jeffrey P Geiger for Glenwood Redevelopment, LLC: Request to conditionally rezone from B-2 Business District, R-4 One-Family Residence District, and R-5 General Residence District to UMU-PDC Urban Mixed-Use Planned Development District (Conditional) Parcels 803-733-6779, 803-733-8666, 803-733-8838, 803-733-9862, 803-734-7239, 803-734-9319, and 804-733-0683 containing 34.409 acres located on the north and south line of Byron Street between Carlton Road and Howard Road, and the north and south line of E. Laburnum Avenue at its intersection with Bolling Road and Howard Road. The applicant proposes rezoning for a mixed-use development with residential and commercial uses. The uses will be controlled by zoning ordinance regulations and proffered conditions. The 2026 Comprehensive Plan recommends Commercial Concentration, Multi-Family Residential, and Urban Residential. The site is located in the Airport Safety Overlay District and a portion is located in the Enterprise Zone. Staff – Seth Humphreys","MULTIPOLYGON (((-77.39219 37.57166, -77.39221 37.57181, -77.39207 37.57183, -77.39206 37.57167, -77.39219 37.57166)))"
REZ-2024-101034,2024-07-11,803-734-7239,FAIRFIELD,3600 LEN CT,23223,Vacant Residential,,0,"Glenwood Redevelopment, LLC",Jeffrey P Geiger,Seth Humphreys,"REZ-2024-101034 Jeffrey P Geiger for Glenwood Redevelopment, LLC: Request to conditionally rezone from B-2 Business District, R-4 One-Family Residence District, and R-5 General Residence District to UMU-PDC Urban Mixed-Use Planned Development District (Conditional) Parcels 803-733-6779, 803-733-8666, 803-733-8838, 803-733-9862, 803-734-7239, 803-734-9319, and 804-733-0683 containing 34.409 acres located on the north and south line of Byron Street between Carlton Road and Howard Road, and the north and south line of E. Laburnum Avenue at its intersection with Bolling Road and Howard Road. The applicant proposes rezoning for a mixed-use development with residential and commercial uses. The uses will be controlled by zoning ordinance regulations and proffered conditions. The 2026 Comprehensive Plan recommends Commercial Concentration, Multi-Family Residential, and Urban Residential. The site is located in the Airport Safety Overlay District and a portion is located in the Enterprise Zone. Staff – Seth Humphreys","MULTIPOLYGON (((-77.39282 37.5744, -77.39273 37.57436, -77.39266 37.57433, -77.3926 37.57431, -77.39252 37.57428, -77.39245 37.57424, -77.39242 37.57423, -77.3924 37.57422, -77.3924 37.57422, -77.39239 37.57421, -77.39238 37.5742, -77.39238 37.5742, -77.39237 37.57419, -77.39237 37.57418, -77.39236 37.57417, -77.39236 37.57417, -77.39236 37.57416, -77.39236 37.57415, -77.39236 37.57414, -77.39236 37.57413, -77.39237 37.57412, -77.39238 37.57412, -77.39238 37.57411, -77.39239 37.5741, -77.39239 37.5741, -77.39279 37.57378, -77.3928 37.57378, -77.39281 37.57377, -77.39282 37.57377, -77.39283 37.57377, -77.39284 37.57376, -77.39285 37.57376, -77.39286 37.57376, -77.39287 37.57377, -77.39288 37.57377, -77.39289 37.57377, -77.3929 37.57377, -77.39292 37.57377, -77.39293 37.57377, -77.39294 37.57377, -77.39295 37.57377, -77.39296 37.57377, -77.39298 37.57376, -77.39299 37.57376, -77.393 37.57375, -77.39301 37.57374, -77.39302 37.57374, -77.39302 37.57373, -77.39303 37.57372, -77.39303 37.57371, -77.39304 37.5737, -77.39304 37.5737, -77.39305 37.57369, -77.39305 37.57368, -77.39305 37.57367, -77.39305 37.57366, -77.39305 37.57365, -77.39305 37.57364, -77.39304 37.57363, -77.39303 37.57362, -77.39303 37.57361, -77.39302 37.5736, -77.39302 37.5736, -77.39301 37.57359, -77.393 37.57358, -77.39299 37.57358, -77.39317 37.57342, -77.39366 37.57318, -77.3936 37.57326, -77.39354 37.57334, -77.3935 37.57341, -77.39345 37.57349, -77.39341 37.57354, -77.39337 37.57361, -77.39331 37.57369, -77.39327 37.57375, -77.39323 37.5738, -77.3932 37.57385, -77.39317 37.5739, -77.39312 37.57396, -77.39308 37.57401, -77.39305 37.57405, -77.39303 37.57409, -77.39299 37.57413, -77.39295 37.57419, -77.39292 37.57423, -77.3929 37.57427, -77.39287 37.5743, -77.39286 37.57433, -77.39283 37.57437, -77.39282 37.5744)))"
REZ-2024-101034,2024-07-11,803-734-9319,FAIRFIELD,2705 BYRON ST,23223,Apartment,,1948,"Glenwood Redevelopment, LLC",Jeffrey P Geiger,Seth Humphreys,"REZ-2024-101034 Jeffrey P Geiger for Glenwood Redevelopment, LLC: Request to conditionally rezone from B-2 Business District, R-4 One-Family Residence District, and R-5 General Residence District to UMU-PDC Urban Mixed-Use Planned Development District (Conditional) Parcels 803-733-6779, 803-733-8666, 803-733-8838, 803-733-9862, 803-734-7239, 803-734-9319, and 804-733-0683 containing 34.409 acres located on the north and south line of Byron Street between Carlton Road and Howard Road, and the north and south line of E. Laburnum Avenue at its intersection with Bolling Road and Howard Road. The applicant proposes rezoning for a mixed-use development with residential and commercial uses. The uses will be controlled by zoning ordinance regulations and proffered conditions. The 2026 Comprehensive Plan recommends Commercial Concentration, Multi-Family Residential, and Urban Residential. The site is located in the Airport Safety Overlay District and a portion is located in the Enterprise Zone. Staff – Seth Humphreys","MULTIPOLYGON (((-77.39354 37.57254, -77.39363 37.57309, -77.3931 37.57336, -77.39285 37.57357, -77.39215 37.57411, -77.3921 37.57409, -77.39206 37.57407, -77.39194 37.57401, -77.39192 37.574, -77.39189 37.57399, -77.39184 37.57398, -77.3917 37.57393, -77.39166 37.57392, -77.3916 37.5739, -77.39149 37.57386, -77.39145 37.57385, -77.39121 37.57378, -77.3912 37.57378, -77.39119 37.57377, -77.39118 37.57377, -77.39118 37.57376, -77.39117 37.57375, -77.39116 37.57375, -77.39116 37.57374, -77.39115 37.57373, -77.39115 37.57372, -77.39115 37.57372, -77.39115 37.57371, -77.39115 37.5737, -77.39115 37.57369, -77.39115 37.57368, -77.39121 37.57354, -77.39123 37.57348, -77.39128 37.57336, -77.3913 37.57329, -77.39133 37.57322, -77.39137 37.57314, -77.3914 37.57306, -77.39143 37.57299, -77.3915 37.57281, -77.3915 37.5728, -77.39151 37.57279, -77.39152 37.57278, -77.39152 37.57278, -77.39153 37.57277, -77.39154 37.57276, -77.39154 37.57276, -77.39155 37.57276, -77.39156 37.57275, -77.39157 37.57275, -77.39158 37.57275, -77.39174 37.57273, -77.39199 37.5727, -77.39218 37.57268, -77.39245 37.57265, -77.39259 37.57264, -77.39278 37.57262, -77.39305 37.57259, -77.39322 37.57257, -77.39345 37.57255, -77.39354 37.57254)), ((-77.39072 37.57212, -77.3907 37.57204, -77.39121 37.57199, -77.39124 37.57211, -77.39125 37.5722, -77.39127 37.57231, -77.3913 37.57249, -77.3913 37.5725, -77.3913 37.57251, -77.3913 37.57252, -77.3913 37.57252, -77.39129 37.57253, -77.39129 37.57254, -77.39128 37.57255, -77.39128 37.57255, -77.39127 37.57256, -77.39126 37.57257, -77.39125 37.57257, -77.39124 37.57257, -77.39123 37.57258, -77.39122 37.57258, -77.39121 37.57258, -77.39061 37.57265, -77.39057 37.57248, -77.39054 37.5723, -77.39075 37.57228, -77.39072 37.57212)), ((-77.38941 37.57302, -77.38941 37.573, -77.38941 37.57298, -77.38941 37.57296, -77.38941 37.57294, -77.38941 37.57292, -77.38941 37.57291, -77.38941 37.5729, -77.38991 37.57284, -77.38991 37.57302, -77.38991 37.57305, -77.38991 37.57314, -77.38991 37.57319, -77.3899 37.57323, -77.3899 37.57327, -77.38989 37.57332, -77.38988 37.57338, -77.38987 37.57343, -77.38985 37.57349, -77.38984 37.57352, -77.38982 37.57357, -77.3898 37.57363, -77.38979 37.57367, -77.38976 37.57372, -77.38974 37.57376, -77.38972 37.5738, -77.38969 37.57385, -77.38967 37.57389, -77.38964 37.57393, -77.38962 37.57396, -77.3896 37.57399, -77.38959 37.57402, -77.38957 37.57404, -77.38955 37.57407, -77.38953 37.57411, -77.38952 37.57412, -77.3895 37.57416, -77.38949 37.57418, -77.38947 37.57421, -77.38945 37.57422, -77.38943 37.57426, -77.38942 37.57428, -77.38938 37.57434, -77.38937 37.57436, -77.38935 37.57439, -77.38933 37.57442, -77.38932 37.57444, -77.38919 37.57465, -77.38919 37.57465, -77.38918 37.57466, -77.38917 37.57467, -77.38916 37.57467, -77.38915 37.57468, -77.38914 37.57468, -77.38913 37.57468, -77.38912 37.57469, -77.38911 37.57469, -77.3891 37.57469, -77.38909 37.57469, -77.38908 37.57469, -77.38907 37.57468, -77.38906 37.57468, -77.38905 37.57468, -77.38869 37.57453, -77.38883 37.57432, -77.38896 37.57413, -77.3891 37.57392, -77.38911 37.57391, -77.38911 37.5739, -77.38912 37.57388, -77.38914 37.57387, -77.38915 37.57385, -77.38916 37.57383, -77.38917 37.57382, -77.38918 37.5738, -77.3892 37.57378, -77.38921 37.57377, -77.38922 37.57375, -77.38922 37.57373, -77.38923 37.57371, -77.38924 37.5737, -77.38924 37.5737, -77.38926 37.57368, -77.38926 37.57366, -77.38927 37.57364, -77.38928 37.57362, -77.38929 37.57361, -77.3893 37.57359, -77.38931 37.57357, -77.38931 37.57355, -77.38932 37.57353, -77.38933 37.57351, -77.38933 37.5735, -77.38934 37.57348, -77.38934 37.57346, -77.38935 37.57344, -77.38936 37.57342, -77.38936 37.5734, -77.38937 37.57338, -77.38937 37.57336, -77.38938 37.57335, -77.38938 37.57333, -77.38939 37.57331, -77.38939 37.57329, -77.38939 37.57327, -77.3894 37.57325, -77.3894 37.57323, -77.3894 37.57321, -77.3894 37.57319, -77.38941 37.57317, -77.38941 37.57315, -77.38941 37.57314, -77.38941 37.57312, -77.38941 37.5731, -77.38941 37.57308, -77.38941 37.57306, -77.38941 37.57304, -77.38941 37.57302)), ((-77.39013 37.57512, -77.38939 37.57482, -77.38938 37.57481, -77.38937 37.57481, -77.38936 37.5748, -77.38936 37.57479, -77.38935 37.57479, -77.38935 37.57478, -77.38934 37.57477, -77.38934 37.57476, -77.38934 37.57476, -77.38933 37.57475, -77.38933 37.57474, -77.38934 37.57473, -77.38934 37.57472, -77.38934 37.57471, -77.38934 37.57471, -77.38941 37.5746, -77.38943 37.57457, -77.38947 37.5745, -77.38949 37.57448, -77.38951 37.57445, -77.38952 37.57442, -77.38953 37.5744, -77.38958 37.57434, -77.38959 37.57432, -77.38961 37.57428, -77.38962 37.57427, -77.38964 37.57424, -77.38965 37.57422, -77.38968 37.57418, -77.38968 37.57417, -77.3897 37.57413, -77.38972 37.57411, -77.38974 37.57408, -77.38976 37.57405, -77.38977 37.57402, -77.38979 37.57399, -77.38982 37.57395, -77.38985 37.57391, -77.38987 37.57386, -77.3899 37.57381, -77.38992 37.57377, -77.38995 37.57371, -77.38997 37.57367, -77.38999 37.57361, -77.39001 37.57355, -77.39002 37.57352, -77.39004 37.57345, -77.39005 37.5734, -77.39006 37.57334, -77.39007 37.57328, -77.39008 37.57324, -77.39008 37.5732, -77.39008 37.57314, -77.39009 37.57298, -77.39009 37.57297, -77.39009 37.57297, -77.39009 37.57296, -77.39009 37.57295, -77.3901 37.57294, -77.39011 37.57293, -77.39011 37.57293, -77.39012 37.57292, -77.39013 37.57292, -77.39014 37.57291, -77.39015 37.57291, -77.39016 37.5729, -77.39017 37.5729, -77.39018 37.5729, -77.39117 37.5728, -77.39118 37.5728, -77.39119 37.5728, -77.3912 37.57281, -77.39121 37.57281, -77.39122 37.57281, -77.39123 37.57282, -77.39124 37.57282, -77.39125 37.57283, -77.39126 37.57283, -77.39126 37.57284, -77.39127 37.57285, -77.39127 37.57285, -77.39128 37.57286, -77.39128 37.57287, -77.39128 37.57288, -77.39128 37.57289, -77.39128 37.5729, -77.39128 37.5729, -77.39128 37.57291, -77.39124 37.57302, -77.3912 37.5731, -77.39117 37.57318, -77.39114 37.57325, -77.39111 37.57332, -77.39107 37.57344, -77.39104 37.57349, -77.39102 37.57354, -77.39101 37.57359, -77.39098 37.57364, -77.39097 37.57366, -77.39093 37.57377, -77.39086 37.57394, -77.39084 37.57399, -77.39082 37.57405, -77.3908 37.57411, -77.39077 37.57416, -77.39076 37.57419, -77.39071 37.5743, -77.39067 37.57438, -77.39066 37.5744, -77.39064 37.57444, -77.39063 37.57446, -77.39062 37.57447, -77.39062 37.57448, -77.3906 37.57453, -77.39058 37.57456, -77.39055 37.57461, -77.39053 37.57465, -77.39052 37.57467, -77.39049 37.57472, -77.39048 37.57474, -77.39046 37.57477, -77.39044 37.5748, -77.39042 37.57484, -77.39038 37.57489, -77.39033 37.57497, -77.39026 37.57508, -77.39026 37.57509, -77.39025 37.5751, -77.39024 37.5751, -77.39024 37.57511, -77.39023 37.57512, -77.39022 37.57512, -77.39021 37.57512, -77.39019 37.57513, -77.39018 37.57513, -77.39017 37.57513, -77.39016 37.57513, -77.39015 37.57513, -77.39014 37.57512, -77.39013 37.57512)), ((-77.39144 37.57428, -77.39124 37.57461, -77.39135 37.57465, -77.39133 37.57467, -77.39086 37.57538, -77.39083 37.57541, -77.39065 37.57534, -77.39046 37.57526, -77.39045 37.57526, -77.39044 37.57525, -77.39043 37.57525, -77.39042 37.57524, -77.39042 37.57523, -77.39041 37.57523, -77.39041 37.57522, -77.39041 37.57521, -77.3904 37.5752, -77.3904 37.57519, -77.3904 37.57519, -77.3904 37.57518, -77.3904 37.57517, -77.39041 37.57516, -77.39041 37.57515, -77.39049 37.57504, -77.39054 37.57496, -77.39057 37.5749, -77.3906 37.57486, -77.39062 37.57483, -77.39064 37.57479, -77.39065 37.57477, -77.39068 37.57473, -77.39069 37.5747, -77.39071 37.57466, -77.39074 37.57462, -77.39075 37.57458, -77.39078 37.57453, -77.39079 37.57453, -77.39079 37.57451, -77.3908 37.57449, -77.39082 37.57445, -77.39082 37.57445, -77.39084 37.57443, -77.39087 37.57434, -77.39092 37.57423, -77.39094 37.5742, -77.39096 37.57415, -77.39098 37.5741, -77.39098 37.57409, -77.39144 37.57428)), ((-77.38816 37.57538, -77.38826 37.57522, -77.38836 37.57507, -77.38845 37.57492, -77.38855 37.57476, -77.38856 37.57475, -77.3886 37.57476, -77.38893 37.57489, -77.38893 37.57489, -77.38894 37.5749, -77.38895 37.5749, -77.38896 37.57491, -77.38896 37.57492, -77.38897 37.57493, -77.38897 37.57493, -77.38898 37.57494, -77.38898 37.57495, -77.38898 37.57496, -77.38898 37.57497, -77.38898 37.57498, -77.38897 37.57498, -77.38897 37.57499, -77.38897 37.575, -77.38894 37.57504, -77.38889 37.57512, -77.38885 37.57518, -77.38874 37.57536, -77.38864 37.57552, -77.38859 37.57561, -77.38842 37.57587, -77.38834 37.57599, -77.38827 37.5761, -77.38815 37.57631, -77.38769 37.57612, -77.38779 37.57597, -77.3879 37.57581, -77.38798 37.57567, -77.38807 37.57552, -77.38808 37.57551, -77.38816 37.57538)), ((-77.38829 37.57638, -77.3883 37.57637, -77.38858 37.57592, -77.38883 37.57552, -77.389 37.57525, -77.38905 37.57518, -77.38912 37.57506, -77.38913 37.57505, -77.38914 37.57504, -77.38914 37.57504, -77.38915 37.57503, -77.38916 37.57502, -77.38917 37.57502, -77.38918 37.57502, -77.38919 37.57501, -77.3892 37.57501, -77.38922 37.57501, -77.38923 37.57501, -77.38924 37.57501, -77.38925 37.57502, -77.38926 37.57502, -77.39001 37.57531, -77.39002 37.57531, -77.39003 37.57532, -77.39004 37.57532, -77.39005 37.57533, -77.39005 37.57534, -77.39006 37.57535, -77.39006 37.57535, -77.39006 37.57536, -77.39007 37.57537, -77.39007 37.57538, -77.39007 37.57539, -77.39007 37.5754, -77.39006 37.5754, -77.39006 37.57541, -77.39005 37.57542, -77.38998 37.57553, -77.38991 37.57565, -77.38986 37.57573, -77.3898 37.57582, -77.38976 37.57589, -77.38971 37.57597, -77.38966 37.57605, -77.3896 37.57614, -77.38956 37.57621, -77.3895 37.57629, -77.38944 37.5764, -77.38938 37.57649, -77.38932 37.57659, -77.38923 37.57672, -77.38921 37.57675, -77.38876 37.57657, -77.38857 37.57649, -77.38829 37.57638)), ((-77.38938 37.57679, -77.38947 37.57665, -77.38954 37.57655, -77.38959 37.57646, -77.38966 37.57635, -77.38971 37.57627, -77.38975 37.5762, -77.38981 37.57611, -77.38986 37.57603, -77.38991 37.57595, -77.38996 37.57588, -77.39001 37.5758, -77.39006 37.57571, -77.39017 37.57553, -77.39021 37.57547, -77.39022 37.57547, -77.39022 37.57546, -77.39023 37.57545, -77.39024 37.57545, -77.39025 37.57544, -77.39026 37.57544, -77.39027 37.57543, -77.39028 37.57543, -77.39029 37.57543, -77.39031 37.57543, -77.39032 37.57543, -77.39033 37.57543, -77.39034 37.57543, -77.39035 37.57543, -77.3906 37.57554, -77.39073 37.57559, -77.38979 37.57694, -77.38938 37.57679)))"
REZ-2024-101034,2024-07-11,804-733-0683,FAIRFIELD,BYRON ST,23223,Vacant Comm B1-B3,,,"Glenwood Redevelopment, LLC",Jeffrey P Geiger,Seth Humphreys,"REZ-2024-101034 Jeffrey P Geiger for Glenwood Redevelopment, LLC: Request to conditionally rezone from B-2 Business District, R-4 One-Family Residence District, and R-5 General Residence District to UMU-PDC Urban Mixed-Use Planned Development District (Conditional) Parcels 803-733-6779, 803-733-8666, 803-733-8838, 803-733-9862, 803-734-7239, 803-734-9319, and 804-733-0683 containing 34.409 acres located on the north and south line of Byron Street between Carlton Road and Howard Road, and the north and south line of E. Laburnum Avenue at its intersection with Bolling Road and Howard Road. The applicant proposes rezoning for a mixed-use development with residential and commercial uses. The uses will be controlled by zoning ordinance regulations and proffered conditions. The 2026 Comprehensive Plan recommends Commercial Concentration, Multi-Family Residential, and Urban Residential. The site is located in the Airport Safety Overlay District and a portion is located in the Enterprise Zone. Staff – Seth Humphreys","MULTIPOLYGON (((-77.39205 37.57217, -77.39229 37.57215, -77.39234 37.57247, -77.39215 37.57249, -77.39196 37.57251, -77.39159 37.57255, -77.39158 37.57255, -77.39157 37.57255, -77.39156 37.57255, -77.39155 37.57255, -77.39154 37.57255, -77.39152 37.57254, -77.39152 37.57254, -77.39151 37.57253, -77.3915 37.57253, -77.39149 37.57252, -77.39148 37.57251, -77.39148 37.57251, -77.39148 37.5725, -77.39147 37.57249, -77.39146 37.57241, -77.39145 37.57236, -77.39144 37.57229, -77.39143 37.57225, -77.39205 37.57217)))"
REZ-2024-100545,2024-07-11,766-744-5757,TUCKAHOE,6605 W BROAD ST,23230-1714,Office - Medical,,1978,Forest Avenue Office LLC,Andrew M. Condlin,Livingston Lewis,"TUCKAHOE: REZ-2024-100545 Andrew M. Condlin for Forest Avenue Office LLC: Request to rezone from B-2C Business District (Conditional), B-3C Business District (Conditional), O-3C Office District (Conditional), and M-1 Light Industrial District to UMU-PDC Urban Mixed Use – Planned Development District (Conditional) Parcels 766-744-5757, 766-744-5838, 766-745-8010, 767-744-3162, 767-744-6580, 767-744-7864, 767-744-9052, 767-745-5610, 766-745-8230, and 767-744-6325 containing 52.41 acres located at the northwest intersection of W Broad Street (U.S. Route 250) and Forest Avenue. The applicant proposes rezoning for a mixed-use development with residential uses. The uses will be controlled by zoning ordinance regulations and proffered conditions. The 2026 Comprehensive Plan recommends Office and Commercial Concentration. The site is located in the Enterprise Zone. Staff – Livingston Lewis","MULTIPOLYGON (((-77.51903 37.60354, -77.51903 37.60219, -77.52029 37.60219, -77.52029 37.60269, -77.52138 37.60269, -77.52138 37.60367, -77.52019 37.60368, -77.52019 37.60361, -77.51942 37.60361, -77.51942 37.60354, -77.51926 37.60354, -77.51905 37.60354, -77.51903 37.60354)))"
REZ-2024-100545,2024-07-11,766-744-5838,TUCKAHOE,FOREST AVE,23226,Vacant Comm B1-B3,,0,Forest Avenue Office LLC,Andrew M. Condlin,Livingston Lewis,"TUCKAHOE: REZ-2024-100545 Andrew M. Condlin for Forest Avenue Office LLC: Request to rezone from B-2C Business District (Conditional), B-3C Business District (Conditional), O-3C Office District (Conditional), and M-1 Light Industrial District to UMU-PDC Urban Mixed Use – Planned Development District (Conditional) Parcels 766-744-5757, 766-744-5838, 766-745-8010, 767-744-3162, 767-744-6580, 767-744-7864, 767-744-9052, 767-745-5610, 766-745-8230, and 767-744-6325 containing 52.41 acres located at the northwest intersection of W Broad Street (U.S. Route 250) and Forest Avenue. The applicant proposes rezoning for a mixed-use development with residential uses. The uses will be controlled by zoning ordinance regulations and proffered conditions. The 2026 Comprehensive Plan recommends Office and Commercial Concentration. The site is located in the Enterprise Zone. Staff – Livingston Lewis","MULTIPOLYGON (((-77.52029 37.60219, -77.52138 37.60219, -77.52138 37.60269, -77.52029 37.60269, -77.52029 37.60219)))"
